strain	date	abbr_authors	s_lineage	gpc_lineage	genbank_accession	author	accession	country	host	sub_lineage	division
803204	1972-12-29 (1972-01-01 - 1972-12-31)	Welch et al.	LIV_V	LIV_V	MG812648	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812648	Liberia	Homo sapiens		
803209	1975-01-01 (1975-01-01 - 1975-11-22)	Welch et al.	LIV_V	LIV_V	MG812647	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812647	Sierra Leone	Homo sapiens		
803213	1974-07-09 (1972-05-12 - 1976-09-13)	Bowen et al.	LII	LII	AF181854	Bowen,M.D.,Rollin,P.E.,Ksiazek,T.G.,Hustad,H.L.,Bausch,D.G.,Demby,A.H.,Bajani,M.D.,Peters,C.J.,Nichol,S.T.	AF181854			2d	
806387	1981-07-11 (1981-01-01 - 1981-12-31)	Welch et al.	LIV_V	LIV_V	MG812645	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812645	Guinea	Homo sapiens		
806568	1979-01-01 (1979-01-01 - 1979-11-23)	Welch et al.	LIV_V	LIV_V	MG812643	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812643	Sierra Leone			
806593	1989-01-01 (1989-01-01 - 1989-11-01)	Welch et al.	LII	LII	MG812641	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812641	Nigeria	Homo sapiens		
806827	1977-11-17 (1977-01-01 - 1977-12-31)	Welch et al.	LIV_V	LIV_V	MG812639	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812639	Sierra Leone	Homo sapiens		
806829	1981-01-01 (1981-01-01 - 1981-11-25)	Welch et al.	LIV_V	LIV_V	MG812636	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812636	Liberia	Homo sapiens		
807876	1981-12-28 (1981-01-01 - 1981-12-31)	Welch et al.	LIII	LIII	MG812635	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812635	Nigeria	Homo sapiens		
807978	1981-12-31 (1981-02-08 - 1981-12-31)	Welch et al.	LIV_V	LIV_V	MG812632	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812632	Liberia	Homo sapiens		
807987	1981-12-31 (1981-02-08 - 1981-12-31)	Welch et al.	LIV_V	LIV_V	MG812631	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812631	Liberia	Homo sapiens		
807988	1996-01-01 (1996-01-01 - 1996-11-24)	Welch et al.	LIV_V	LIV_V	MG812685	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812685	Guinea	Homo sapiens		
808714	1980-12-31 (1980-02-24 - 1980-12-31)	Welch et al.	LIV_V	LIV_V	MG812683	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812683	Sierra Leone	Homo sapiens		
810801	1974-09-01 (1974-01-01 - 1974-12-31)	Welch et al.	LII	LII	MG812681	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812681	Nigeria	Homo sapiens		
811606	2010-01-01 (2010-01-01 - 2010-11-24)	Welch et al.	LIV_V	LIV_V	MG812679	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812679	Liberia	Homo sapiens		
