strain	date	country	host	abbr_authors	l_lineage	genbank_accession	author	accession	division
803204	1972-12-31 (1972-07-22 - 1972-12-31)	Liberia	Homo sapiens	Welch et al.	LIV_V	MG812649	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812649	
803209	1975-12-31 (1975-03-12 - 1975-12-31)	Sierra Leone	Homo sapiens	Welch et al.	LIV_V	MG812646	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812646	
806387	1981-01-30 (1981-01-01 - 1981-12-31)	Guinea	Homo sapiens	Welch et al.	LIV_V	MG812644	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812644	
806568	1979-01-01 (1979-01-01 - 1979-10-06)	Sierra Leone	Homo sapiens	Welch et al.	LIV_V	MG812642	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812642	
806593	1989-01-01 (1989-01-01 - 1989-05-29)	Nigeria	Homo sapiens	Welch et al.	LII	MG812640	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812640	
806827	1977-12-04 (1977-01-01 - 1977-12-31)	Sierra Leone	Homo sapiens	Welch et al.	LIV_V	MG812638	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812638	
806829	1981-01-01 (1981-01-01 - 1981-11-25)	Liberia	Homo sapiens	Welch et al.	LIV_V	MG812637	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812637	
807876	1981-12-31 (1981-03-07 - 1981-12-31)	Nigeria	Homo sapiens	Welch et al.	LIII	MG812634	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812634	
807978	1981-01-01 (1981-01-01 - 1981-11-17)	Liberia	Homo sapiens	Welch et al.	LIV_V	MG812633	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812633	
807987	1981-12-31 (1981-02-07 - 1981-12-31)	Liberia	Homo sapiens	Welch et al.	LIV_V	MG812630	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812630	
807988	1996-01-01 (1996-01-01 - 1996-11-25)	Guinea	Homo sapiens	Welch et al.	LIV_V	MG812684	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812684	
808714	1980-12-31 (1980-04-06 - 1980-12-31)	Sierra Leone	Homo sapiens	Welch et al.	LIV_V	MG812682	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812682	
810801	1974-12-31 (1974-02-22 - 1974-12-31)	Nigeria	Homo sapiens	Welch et al.	LII	MG812680	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812680	
811606	2010-01-01 (2010-01-01 - 2010-11-17)	Liberia	Homo sapiens	Welch et al.	LIV_V	MG812678	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812678	
812285	1976-01-01 (1976-01-01 - 1976-11-25)	Nigeria	Homo sapiens	Welch et al.	LI	MG812674	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812674	
812337	2014-12-31 (2014-02-10 - 2014-12-31)	Liberia	Homo sapiens	Welch et al.	LIV_V	MG812659	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812659	
812673	2015-12-31 (2015-02-18 - 2015-12-31)	Liberia	Homo sapiens	Welch et al.	LIV_V	MG812651	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812651	
813877	1989-12-31 (1989-02-07 - 1989-12-31)	Nigeria	Homo sapiens	Spengler et al.	LII	OM140826	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140826	
813878	2007-01-01 (2007-01-01 - 2007-11-19)	Nigeria	Homo sapiens	Spengler et al.	LIII	OM140828	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140828	
813888	2000-08-28 (2000-01-01 - 2000-12-31)	Nigeria	Homo sapiens	Spengler et al.	LIII	OM140830	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140830	
GA391	1977-01-01 (1977-01-01 - 1977-11-25)	Nigeria	Homo sapiens	Ashraf et al.	LIII	OL774860	Ashraf,S.,Love,H.,Burton,C.,Carmichael,S.,Davis,C.,Filipe,A.D.,Roddy,S.,Smollett,K.,Summers,S.,Tong,L.,Richards,K.S.,Thomson,E.C.	OL774860	
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0187	2016-01-17	Nigeria	Homo sapiens	Odia et al.	LIII	MH053471	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053471	
LASV/H.sapiens-tc/NGA/2016/IRR_023	2016-02-23	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107874	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107874	Kaduna
