Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
NC_004297,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7279,complete,,,,,"Djavani,M., Lukashevich,I.S., Sanchez,A., Nichol,S.T., Salvato,M.S., Lukashevich,I.",,1998-03-17,ssRNA(+/-)
NC_004296,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3402,complete,,,,,"Auperin,D.D., McCormick,J.B.",,1993-08-02,ssRNA(+/-)
PV730128,Mammarenavirus lassaense,Mammarenavirus lassaense,,Ma. erythroleucus_aren_1,,3371,partial,Sierra Leone,Sierra Leone,Mastomys erythroleucus,,"Zhang,J.-T., Zhang,X.-A., Liu,W.",2023,2025-06-14,ssRNA(+/-)
PV730129,Mammarenavirus lassaense,Mammarenavirus lassaense,,Ma. erythroleucus_aren_2,,3511,partial,Sierra Leone,Sierra Leone,Mastomys erythroleucus,,"Zhang,J.-T., Zhang,X.-A., Liu,W.",2023,2025-06-14,ssRNA(+/-)
PV730130,Mammarenavirus lassaense,Mammarenavirus lassaense,,Ra. rattus_aren,,3431,partial,Sierra Leone,Sierra Leone,Rattus rattus,,"Zhang,J.-T., Zhang,X.-A., Liu,W.",2023,2025-06-14,ssRNA(+/-)
PV266731,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7178,partial,USA,USA,Cavia porcellus,,"Peng,L., Mehta,M., Hirsch,S., Kocher,G., Holbrook,M.",1978-12-12,2025-04-01,ssRNA(+/-)
PV287732,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,3322,partial,USA,USA,Cavia porcellus,,"Peng,L., Mehta,M., Hirsch,S., Kocher,G., Holbrook,M.",1978-12-12,2025-04-01,ssRNA(+/-)
PG172024,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,174,partial,,,,,"Neyts,J., Felipe,L.S., Dallmeier,K., Lemmens,V.",,2025-02-28,ssRNA(+/-)
PG172025,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,192,partial,,,,,"Neyts,J., Felipe,L.S., Dallmeier,K., Lemmens,V.",,2025-02-28,ssRNA(+/-)
PQ541162,Mammarenavirus lassaense,Mammarenavirus lassaense,,Ma. erythroleucus_aren_1,,7202,partial,Sierra Leone,Sierra Leone,Mastomys erythroleucus,,"Zhang,J., Zhang,X., Liu,W.",2023,2025-02-20,ssRNA(+/-)
PQ541163,Mammarenavirus lassaense,Mammarenavirus lassaense,,Ma. erythroleucus_aren_2,,7261,partial,Sierra Leone,Sierra Leone,Mastomys erythroleucus,,"Zhang,J., Zhang,X., Liu,W.",2023,2025-02-20,ssRNA(+/-)
PQ541181,Mammarenavirus lassaense,Mammarenavirus lassaense,,Ra. rattus_aren,,7257,partial,Sierra Leone,Sierra Leone,Rattus rattus,,"Zhang,J., Zhang,X., Liu,W.",2023,2025-02-20,ssRNA(+/-)
PP079036,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,222,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2017-11-13,2025-02-05,ssRNA(+/-)
PP079037,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,267,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-13,2025-02-05,ssRNA(+/-)
PP079038,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-13,2025-02-05,ssRNA(+/-)
PP079039,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-14,2025-02-05,ssRNA(+/-)
PP079040,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-14,2025-02-05,ssRNA(+/-)
PP079041,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,819,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-15,2025-02-05,ssRNA(+/-)
PP079042,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-16,2025-02-05,ssRNA(+/-)
PP079043,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-16,2025-02-05,ssRNA(+/-)
PP079044,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,267,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-16,2025-02-05,ssRNA(+/-)
PP079045,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-16,2025-02-05,ssRNA(+/-)
PP079046,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-16,2025-02-05,ssRNA(+/-)
