strain	date	abbr_authors	s_lineage	sub_lineage	gpc_lineage	genbank_accession	author	accession	host	country	division
803204	1972-12-29 (1972-01-01 - 1972-12-31)	Welch et al.	LIV_V		LIV_V	MG812648	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812648	Homo sapiens	Liberia	
803209	1975-01-01 (1975-01-01 - 1975-11-22)	Welch et al.	LIV_V		LIV_V	MG812647	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812647	Homo sapiens	Sierra Leone	
803213	1974-09-18 (1973-02-12 - 1976-09-25)	Bowen et al.	LII	2d	LII	AF181854	Bowen,M.D.,Rollin,P.E.,Ksiazek,T.G.,Hustad,H.L.,Bausch,D.G.,Demby,A.H.,Bajani,M.D.,Peters,C.J.,Nichol,S.T.	AF181854			
806387	1981-12-31 (1981-02-11 - 1981-12-31)	Welch et al.	LIV_V		LIV_V	MG812645	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812645	Homo sapiens	Guinea	
806568	1979-01-01 (1979-01-01 - 1979-11-23)	Welch et al.	LIV_V		LIV_V	MG812643	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812643		Sierra Leone	
806593	1989-12-31 (1989-02-14 - 1989-12-31)	Welch et al.	LII		LII	MG812641	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812641	Homo sapiens	Nigeria	
806827	1977-12-31 (1977-02-07 - 1977-12-31)	Welch et al.	LIV_V		LIV_V	MG812639	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812639	Homo sapiens	Sierra Leone	
806829	1981-01-01 (1981-01-01 - 1981-11-25)	Welch et al.	LIV_V		LIV_V	MG812636	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812636	Homo sapiens	Liberia	
807876	1981-12-29 (1981-01-01 - 1981-12-31)	Welch et al.	LIII		LIII	MG812635	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812635	Homo sapiens	Nigeria	
807978	1981-12-31 (1981-02-07 - 1981-12-31)	Welch et al.	LIV_V		LIV_V	MG812632	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812632	Homo sapiens	Liberia	
807987	1981-12-31 (1981-02-06 - 1981-12-31)	Welch et al.	LIV_V		LIV_V	MG812631	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812631	Homo sapiens	Liberia	
807988	1996-12-28 (1996-01-01 - 1996-12-31)	Welch et al.	LIV_V		LIV_V	MG812685	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812685	Homo sapiens	Guinea	
808714	1980-12-31 (1980-02-23 - 1980-12-31)	Welch et al.	LIV_V		LIV_V	MG812683	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812683	Homo sapiens	Sierra Leone	
810801	1974-12-23 (1974-01-01 - 1974-12-31)	Welch et al.	LII		LII	MG812681	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812681	Homo sapiens	Nigeria	
811606	2010-01-01 (2010-01-01 - 2010-11-23)	Welch et al.	LIV_V		LIV_V	MG812679	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812679	Homo sapiens	Liberia	
812285	1976-01-01 (1976-01-01 - 1976-11-25)	Welch et al.	LI		LI	MG812675	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812675	Homo sapiens	Nigeria	
812337	2014-12-31 (2014-02-09 - 2014-12-31)	Welch et al.	LIV_V		LIV_V	MG812658	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812658	Homo sapiens	Liberia	
812673	2015-01-01 (2015-01-01 - 2015-11-22)	Welch et al.	LIV_V		LIV_V	MG812650	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812650	Homo sapiens	Liberia	
813877	1989-01-01 (1989-01-01 - 1989-11-25)	Spengler et al.	LII		LII	OM140827	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140827	Homo sapiens	Nigeria	
