strain	date	gpc_lineage	host	country	abbr_authors	s_lineage	genbank_accession	author	accession	sub_lineage	division
803204	1972-12-29 (1972-01-01 - 1972-12-31)	LIV_V	Homo sapiens	Liberia	Welch et al.	LIV_V	MG812648	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812648		
803209	1975-12-31 (1975-02-11 - 1975-12-31)	LIV_V	Homo sapiens	Sierra Leone	Welch et al.	LIV_V	MG812647	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812647		
803213	1974-06-21 (1973-07-03 - 1975-07-03)	LII			Bowen et al.	LII	AF181854	Bowen,M.D.,Rollin,P.E.,Ksiazek,T.G.,Hustad,H.L.,Bausch,D.G.,Demby,A.H.,Bajani,M.D.,Peters,C.J.,Nichol,S.T.	AF181854	2d	
806387	1981-12-31 (1981-04-19 - 1981-12-31)	LIV_V	Homo sapiens	Guinea	Welch et al.	LIV_V	MG812645	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812645		
806568	1979-12-31 (1979-02-21 - 1979-12-31)	LIV_V		Sierra Leone	Welch et al.	LIV_V	MG812643	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812643		
806593	1989-01-01 (1989-01-01 - 1989-09-06)	LII	Homo sapiens	Nigeria	Welch et al.	LII	MG812641	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812641		
806827	1977-12-31 (1977-02-12 - 1977-12-31)	LIV_V	Homo sapiens	Sierra Leone	Welch et al.	LIV_V	MG812639	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812639		
806829	1981-01-01 (1981-01-01 - 1981-11-25)	LIV_V	Homo sapiens	Liberia	Welch et al.	LIV_V	MG812636	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812636		
807876	1981-12-28 (1981-01-01 - 1981-12-31)	LIII	Homo sapiens	Nigeria	Welch et al.	LIII	MG812635	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812635		
807978	1981-12-31 (1981-02-08 - 1981-12-31)	LIV_V	Homo sapiens	Liberia	Welch et al.	LIV_V	MG812632	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812632		
